# 功能清单变更提案 — lab-management-system-nextjs

功能树镜像 REF（fix round 1：按 check_align 裁决放弃非 BASE 行）。目标树 = 本仓 M97/M98 段原样 + BASE 26 个 F 级原样 + REF 树中挂在这 26 个 F 级下的 101 个 I 级子项（父 F ∈ BASE，_is_i_expansion 合法扩充）。排除 15 个 BASE 外 F 级及其全部 I 级（M01.F01-F03 / M02.F02-F04 / M03.F04 / M04.F01-F05 / M04.F10-F12）。状态规则：REF 已上线/开发中→本仓「规划」（落地后逐波推）；REF 已废弃→照抄「已废弃」；本仓 M02.F01 已上线保持。full-feature-parity Task 6 fix1。

当前 function-tree.md sha: beb58680f86ef50c
提案状态: 待批准

## 要改的功能

| 功能 ID | 动作 | 名称 | 理由 |
|---|---|---|---|
| M01.F04.I01 | 新增 | RBAC 角色权限 | REF 已废弃行照抄 |
| M01.F04.I02 | 新增 | 路由守卫 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M01.F04.I03 | 新增 | 权限指令 | REF 已废弃行照抄 |
| M01.F04.I04 | 新增 | 动态菜单 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M01.F05.I01 | 新增 | JWT 登录 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M01.F05.I02 | 新增 | Token 校验 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M01.F05.I03 | 新增 | SSO 统一登录 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M01.F05.I04 | 新增 | 身份会话同步 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M01.F05.I05 | 新增 | 登出 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M02.F01.I01 | 新增 | 合同列表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M02.F01.I02 | 新增 | 合同新建/编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M02.F01.I03 | 新增 | 合同删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M02.F01.I04 | 新增 | 合同汇总 | REF 已废弃行照抄 |
| M03.F01.I01 | 新增 | 接样单列表 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F01.I02 | 新增 | 接样单新建 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F01.I03 | 新增 | 接样单编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F01.I04 | 新增 | 接样单删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F01.I05 | 新增 | 接样单详情 | REF 已废弃行照抄 |
| M03.F01.I06 | 新增 | 接样单三态过滤器 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F01.I07 | 新增 | 接样单 ext 字段补录 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F02.I01 | 新增 | 任务分配 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F02.I02 | 新增 | 任务编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F02.I03 | 新增 | 任务取消（清空分配） | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F02.I04 | 新增 | 任务分配三态过滤器 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F03.I01 | 新增 | 数据录入页面 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F03.I02 | 新增 | 检测数据保存 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F03.I03 | 新增 | 检测项编辑 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F03.I04 | 新增 | 检测项删除 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F03.I05 | 新增 | 自动评定 | REF 已废弃行照抄 |
| M03.F03.I06 | 新增 | 人工改判 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F03.I07 | 新增 | 数据录入三态过滤器 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F05.I01 | 新增 | 报告审核页面 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F05.I02 | 新增 | 报告查看 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F05.I03 | 新增 | 审核操作 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F05.I04 | 新增 | 报告审核三态过滤器 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F06.I01 | 新增 | 报告批准页面 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F06.I02 | 新增 | 报告查看 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F06.I03 | 新增 | 批准操作 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F06.I04 | 新增 | 报告批准三态过滤器 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F07.I01 | 新增 | 报告发放页面 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F07.I02 | 新增 | 报告查看 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F07.I03 | 新增 | 发放操作 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F07.I04 | 新增 | 报告发放三态过滤器 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F08.I01 | 新增 | 报告归档页面 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F08.I02 | 新增 | 报告查看 | REF 已上线，本仓初始「规划」（落地后逐波推） |
| M03.F08.I03 | 新增 | 归档操作 | REF 已上线，本仓初始「规划」（落地后逐波推） |
